University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
University of Colorado Boulder,Colorado,United States,MBA in Executive Business Administration,MBA,46857.0,USD,3915370.92
Rochester Institute of Technology,New York,United States,Masters in Business Administration,MBA,54168.0,USD,4526278.08
Rochester Institute of Technology,New York,United States,Masters in Business Administration–Accounting,MBA,54168.0,USD,4526278.08
University of South Florida,Florida,United States,MBA in Business Administration (Professional),MBA,32000.0,USD,2673920.0
Northwestern University,Illinois,United States,Masters in Business & Artificial Intelligence (MBAi),MBA,117060.0,USD,9781533.6
"University of California, Davis",California,United States,MBA in Business Administration - STEM,MBA,59859.0,USD,5001818.04
McGill University,Montreal,Canada,Masters in Business Administration Japan Management (Non-Thesis),MBA,70721.0,CAD,4313981.0
McGill University,Montreal,Canada,Masters in Business Administration,MBA,102500.0,CAD,6252500.0
"California State University, Fullerton",California,United States,MBA in Business Administration,MBA,20430.0,USD,1707130.8
"California State University, Long Beach",California,United States,MBA in Business Administration,MBA,26057.0,USD,2177322.92
George Mason University,Virginia,United States,Masters in Business Administration,MBA,52398.0,USD,4378376.88
University of Alberta,Alberta,Canada,Masters in Executive MBA,MBA,45463.0,CAD,2773243.0
Concordia University,Montreal,Canada,Masters in Executive Business Administration,MBA,50898.0,CAD,3104778.0
Santa Clara University,California,United States,Masters in Business Administration (STEM),MBA,43190.0,USD,3608956.4
Santa Clara University,California,United States,Masters in MBA,MBA,43190.0,USD,3608956.4
Colorado State University,Colorado,United States,MBA in Impact Business Administration,MBA,30859.0,USD,2578578.04
"California State University, Los Angeles",California,United States,MBA in  Business Administration,MBA,13302.0,USD,1111515.12
"California State University, East Bay",California,United States,MBA in Business Administration,MBA,22500.0,USD,1880100.0
"California State University, East Bay",California,United States,MBA in Intensive MBA,MBA,32780.0,USD,2739096.8
"University of California,  Riverside",California,United States,Masters in Business Administration - Professional,MBA,70857.0,USD,5920810.92
The University of Utah,Utah,United States,Masters in Business Administration,MBA,34000.0,USD,2841040.0
Simon Fraser University,British Columbia,Canada,Masters in Business Administration,MBA,64004.0,CAD,3904244.0
University of Dayton,Ohio,United States,Masters in Business Administration,MBA,22900.0,USD,1913524.0
State University of New York at Binghamton,New York,United States,MBA in Business Administration,MBA,27590.0,USD,2305420.4
"University of Michigan, Dearborn",Michigan,United States,MBA in Business Administration,MBA,29520.0,USD,2466691.2
Queen's University,Kingston,Canada,MBA in Business Administration,MBA,105100.0,CAD,6411100.0
"California State University, Sacramento",California,United States,MBA in Business Administration,MBA,25333.0,USD,2116825.48
"California State University, Sacramento",California,United States,MBA in Business Administration for Executives,MBA,33140.0,USD,2769178.4
University of Pittsburgh,Pennsylvania,United States,MBA in Business Analytics,MBA,56772.0,USD,4743868.32
University of Pittsburgh,Pennsylvania,United States,MBA in Signature MBA,MBA,54004.0,USD,4512574.24
Oklahoma State University - Stillwater,Oklahoma,United States,MBA in Business Administration,MBA,,USD,
York University,Toronto,Canada,Masters in Business Administration,MBA,74091.0,CAD,4519551.0
McMaster University,Hamilton,Canada,Masters in Business Administration,MBA,66647.0,CAD,4065467.0
McMaster University,Hamilton,Canada,MBA in Business Administration -  (WITH CO-OP),MBA,50773.0,CAD,3097153.0
The George Washington University,District of Columbia,United States,Masters in Global STEM MBA,MBA,62488.0,USD,5221497.28
Oregon State University,Oregon,United States,MBA in Business Administration,MBA,68355.0,USD,5711743.8
Indiana University - Purdue University Indianapolis,Indiana,United States,MBA in Business Administration,MBA,56548.0,USD,4725150.88
Toronto Metropolitan University,Ontario,Canada,Masters in  Business Administration,MBA,50617.0,CAD,3087637.0
Northern Illinois University,Illinois,United States,MBA in Business Administration (Global),MBA,37000.0,USD,3091720.0
Florida State University,Florida,United States,MBA in Business Administration,MBA,43318.0,USD,3619652.08
University of Connecticut,Connecticut,United States,MBA in Flex - MBA,MBA,23100.0,USD,1930236.0
"New York Institute of Technology, NY Campus",New York,United States,Masters in Business Administration,MBA,46200.0,USD,3860472.0
"New York Institute of Technology, Manhattan",New York,United States,Masters in Master of Business Administration – Business Analytics,MBA,26460.0,USD,2210997.6
"California State University, Fresno",California,United States,Masters in Business Administration,MBA,16344.0,USD,1365704.64
State University of New York (Albany),New York,United States,MBA in Business Administration,MBA,30093.0,USD,2514571.08
Drexel University,Pennsylvania,United States,MBA in Accelerated Full-Time Business Administration (MBA),MBA,67865.0,USD,5670799.4
Drexel University,Pennsylvania,United States,MBA in Business Administration,MBA,67718.0,USD,5658516.08
The University of Melbourne,Victoria,Australia,MBA in Business Administration,MBA,53325.0,AUD,2971802.25
The University of Melbourne,Victoria,Australia,MS in Business Administration,MBA,44750.0,AUD,2493917.5
"University of Missouri, Kansas City",Missouri,United States,MBA in Business Administration,MBA,25200.0,USD,2105712.0
The University of Chicago,Illinois,United States,MBA in Executive MBA,MBA,116829.0,USD,9762231.24
Kansas State University,Kansas,United States,Masters in Business Administration,MBA,24168.0,USD,2019478.08
San Francisco State University,California,United States,MBA in Business Administration - Fast Track,MBA,35000.0,USD,2924600.0
Wichita State University,Kansas,United States,MBA in Business Administration - Executive,MBA,13581.0,USD,1134828.36
Wichita State University,Kansas,United States,MS in Business Administration,MBA,13608.0,USD,1137084.48
Lakehead University,Thunder Bay,Canada,MBA in Business Administration,MBA,42000.0,CAD,2562000.0
Lakehead University,Thunder Bay,Canada,MBA in Advanced Studies in Management,MBA,38195.0,CAD,2329895.0
Lakehead University,Ontario,Canada,MBA in Business Administration,MBA,37800.0,CAD,2305800.0
National University Of Singapore,Singapore,Singapore,Masters in Business Administration,MBA,66782.0,SGD,4117778.12
University of Massachusetts Lowell,Massachusetts,United States,Masters in Business Administration,MBA,27706.0,USD,2315113.36
"California State University, Chico",California,United States,Masters in Business Administration,MBA,23600.0,USD,1972016.0
University of San Francisco,California,United States,MBA in Business Administration,MBA,40800.0,USD,3409248.0
University of Illinois at Springfield,Illinois,United States,Masters in Business Administration,MBA,40920.0,USD,3419275.2
Lehigh University,Pennsylvania,United States,MBA in One-Year MBA,MBA,68900.0,USD,5757284.0
University of Alabama at Birmingham,Alabama,United States,MBA in Business Administration,MBA,44028.0,USD,3678979.68
University of Oklahoma,Oklahoma,United States,MBA in Business Administration,MBA,39771.0,USD,3323264.76
University of South Carolina,South Carolina,United States,MBA in International MBA,MBA,32997.0,USD,2757229.32
Texas A&M University - Corpus Christi,Texas,United States,Masters in Business Administration,MBA,13305.0,USD,1111765.8
Arkansas State University,Arkansas,United States,Masters in Business Administration,MBA,14080.0,USD,1176524.8
Western University,Ontario,Canada,Masters in Business Administration,MBA,123500.0,CAD,7533500.0
Western University,Ontario,Canada,Masters in Business Administration: Finance Specialization,MBA,123500.0,CAD,7533500.0
Western University,Ontario,Canada,MBA in Business Administration,MBA,126600.0,CAD,7722600.0
"University of Alabama, Huntsville",Alabama,United States,Masters in Business Administration,MBA,25398.0,USD,2122256.88
University of Saskatchewan,Saskatchewan,Canada,MBA in Business Administration,MBA,68188.0,CAD,4159468.0
Portland State University,Oregon,United States,MBA in Business Administration,MBA,49414.0,USD,4129033.84
Northwest Missouri State University,Missouri,United States,MBA in Business Administration,MBA,11340.0,USD,947570.4
The University of New South Wales,New South Wales,Australia,MBA in Business Administration,MBA,81720.0,AUD,4554255.6
University of Regina,Saskatchewan,Canada,MBA in Business Administration,MBA,18057.0,CAD,1101477.0
Monash University,Victoria,Australia,Masters in Global Executive Business Administration,MBA,73300.0,AUD,4085009.0
Monash University,Victoria,Australia,Masters in Business Administration,MBA,50000.0,AUD,2786500.0
University of Wisconsin-Milwaukee,Wisconsin,United States,MBA in Business Administration,MBA,30459.0,USD,2545154.04
The University of Kansas,Kansas,United States,MBA in Business Administration,MBA,37823.0,USD,3160489.88
University of Massachusetts Dartmouth,Massachusetts,United States,Masters in Business Administration,MBA,36960.0,USD,3088377.6
University of Texas at San Antonio,Texas,United States,Masters in Business Administration,MBA,27486.0,USD,2296730.16
Texas A&M University-Commerce,Texas,United States,MBA in Business Administration,MBA,35730.0,USD,2985598.8
University of Manitoba,Manitoba,Canada,Masters in Business Administration (MBA),MBA,48300.0,CAD,2946300.0
Nanyang Technological University,Singapore,Singapore,Masters in Business Administration,MBA,81750.0,SGD,5040705.0
University of Georgia,Georgia,United States,MBA in Executive Business Administration,MBA,49833.0,USD,4164045.48
University of Georgia,Georgia,United States,MBA in Business Administration,MBA,32606.0,USD,2724557.36
Memorial University of Newfoundland,Newfoundland & Labrador,Canada,MBA in Business Administration,MBA,40998.0,CAD,2500878.0
University of Cambridge,Cambridgeshire,United Kingdom,MBA in Executive Business Administration,MBA,53234.0,GBP,5628963.16
University of Cambridge,Cambridgeshire,United Kingdom,MBA in Business Administration,MBA,64000.0,GBP,6767360.0
Mississippi State University,Mississippi,United States,Masters in Business Administration,MBA,44040.0,USD,3679982.4
"New York Institute of Technology, Old Westbury",New York,United States,MBA in Business Administration,MBA,24300.0,USD,2030508.0
"New York Institute of Technology, Old Westbury",New York,United States,Masters in Executive Business Administration,MBA,27720.0,USD,2316283.2
"New York Institute of Technology, Old Westbury",New York,United States,Masters in Business Administration,MBA,44100.0,USD,3684996.0
University of Tennessee at Knoxville,Tennessee,United States,Masters in Executive MBA – Global Supply Chain,MBA,90000.0,USD,7520400.0
"Deakin University, Melbourne",Victoria,Australia,Masters in Business Administration (International),MBA,41200.0,AUD,2296076.0
Northern Arizona University,Arizona,United States,Masters in Global Business Administration,MBA,30658.0,USD,2561782.48
Central Michigan University,Michigan,United States,Masters in Business Administration,MBA,33300.0,USD,2782548.0
Ludwig Maximilian University of Munich,Bavaria,Germany,MSc in Business Administration,MBA,,EUR,
The University of Sydney,New South Wales,Australia,MBA in Leadership and Enterprise,MBA,55000.0,AUD,3065150.0
University of Sydney,New South Wales,Australia,Masters in Executive Master of Business Administration,MBA,,AUD,
RMIT University,Victoria,Australia,Masters in Business Administration,MBA,48000.0,AUD,2675040.0
Louisiana State University,Louisiana,United States,MBA in Business Administration,MBA,38470.0,USD,3214553.2
Penn State Harrisburg,Pennsylvania,United States,MBA in Business Administration,MBA,25854.0,USD,2160360.24
Lawrence Technological University,Michigan,United States,MBA in Business Administration,MBA,25380.0,USD,2120752.8
University of Guelph,Ontario,Canada,MBA in Business Administration,MBA,20304.0,CAD,1238544.0
Ohio University,Ohio,United States,Masters in Business Administration,MBA,35000.0,USD,2924600.0
Laval University,Quebec,Canada,MBA in International Management,MBA,17640.0,CAD,1076040.0
Laval University,Quebec,Canada,MBA in Digital Business Management,MBA,17933.0,CAD,1093913.0
Laval University,Quebec,Canada,MSc in Administrative Sciences- Organizational Information Systems,MBA,17640.0,CAD,1076040.0
Laval University,Quebec,Canada,MBA in Business Administration: Accounting,MBA,16808.0,CAD,1025288.0
The University of Queensland,Queensland,Australia,MBA in Business Administration,MBA,91421.0,AUD,5094892.33
The University of Queensland,Queensland,Australia,MBA in Business Administration,MBA,846480.0,AUD,47174330.4
The University of Queensland,Queensland,Australia,MBA in Business Administration,MBA,84648.0,AUD,4717433.04
Australian National University,Australian Capital Territory,Australia,Masters in Business Administration,MBA,46680.0,AUD,2601476.4
Saarland University,Saarland,Germany,MBA in European Management,MBA,12000.0,EUR,1072200.0
Brock University,Ontario,Canada,Masters in Business Administration,MBA,68350.0,CAD,4169350.0
Brock University,Ontario,Canada,MBA in Business Administration,MBA,35884.0,CAD,2188924.0
University of Texas at Tyler,Texas,United States,MBA in Business Administration,MBA,54648.0,USD,4566386.88
The University of Adelaide,South Australia,Australia,Masters in Business Administration,MBA,49000.0,AUD,2730770.0
The University of Adelaide,South Australia,Australia,Masters in Executive Business Administration,MBA,50000.0,AUD,2786500.0
The University of Alabama,Alabama,United States,MBA in Business Administration,MBA,51300.0,USD,4286628.0
University of Warwick,Coventry,United Kingdom,Masters in Business Administration,MBA,53750.0,GBP,5683525.0
North Carolina Agricultural and Technical State University,North Carolina,United States,MBA in Business Administration,MBA,17696.0,USD,1478677.76
"Curtin University, Perth",Western Australia,Australia,Masters in Business Administration,MBA,26940.0,AUD,1501366.2
Pittsburg State University,Kansas,United States,MBA in Business Administration: General Administration,MBA,20022.0,USD,1673038.32
Rowan University,New Jersey,United States,MBA in Business Administration,MBA,15426.0,USD,1288996.56
Gannon University,Pennsylvania,United States,MBA in Business Analytics,MBA,21400.0,USD,1788184.0
University of Miami,Florida,United States,MBA in Business Administration,MBA,78855.0,USD,6589123.8
Old Dominion University,Virginia,United States,MBA in Business Administration,MBA,35358.0,USD,2954514.48
University of Technology Sydney,New South Wales,Australia,Masters in Executive Business Administration,MBA,50400.0,AUD,2808792.0
University of Technology Sydney,New South Wales,Australia,Graduate Certificate in Business Administration,MBA,22248.0,AUD,1239881.04
"City University Of New York, Brooklyn College",New York,United States,MS in Business Administration - Economic Analysis,MBA,18810.0,USD,1571763.6
Queensland University of Technology,Queensland,Australia,Masters in Business Administration,MBA,52896.0,AUD,2947894.08
University of Northern British Columbia,British Columbia,Canada,MSc in Business Administration,MBA,7494.0,CAD,457134.0
University of Amsterdam,Amsterdam,Netherlands,MSc in Business Administration,MBA,21560.0,EUR,1926386.0
The University of Toledo,Ohio,United States,MBA in Business Administration,MBA,18513.0,USD,1546946.28
"University of Michigan, Flint",Michigan,United States,MBA in Business Administration,MBA,17870.0,USD,1493217.2
Dakota State University,South Dakota,United States,MBA in Business Administration,MBA,11916.0,USD,995700.96
Technical University of Kaiserslautern,Rhineland-Palatinate,Germany,MBA in Business Administration,MBA,1400.0,EUR,125090.0
The University of Manchester,Manchester,United Kingdom,Masters in Business Administration,MBA,37600.0,GBP,3975824.0
University of Bath,Bath and North East Somerset,United Kingdom,Masters in MBA,MBA,37500.0,GBP,3965250.0
Swinburne University of Technology,Victoria,Australia,MBA in Business Administration (Executive),MBA,42200.0,AUD,2351806.0
University of Quebec in Montreal,Quebec,Canada,MBA in Business Administration in Management Consulting,MBA,14333.0,CAD,874313.0
University of Quebec in Montreal,Quebec,Canada,MBA in Business Administration - Executive MBA,MBA,14333.0,CAD,874313.0
University of Quebec in Montreal,Quebec,Canada,Masters in Business Administration - Executive,MBA,15300.0,CAD,933300.0
University of Quebec in Montreal,Quebec,Canada,MBA in Business Administration,MBA,13658.0,CAD,833138.0
Adelphi University,New York,United States,Masters in Business Administration,MBA,49170.0,USD,4108645.2
"Saint Mary's University, Nova Scotia",Nova Scotia,Canada,MBA in Business Administration,MBA,35774.0,CAD,2182214.0
New Mexico State University,New Mexico,United States,MBA in Business Administration,MBA,48600.0,USD,4061016.0
"Macquarie University, Sydney",New South Wales,Australia,MS in Business Administration,MBA,42000.0,AUD,2340660.0
Nova Southeastern University,Florida,United States,Masters in Business Administration,MBA,40500.0,USD,3384180.0
The University of Texas at El Paso,Texas,United States,MBA in Professional Business Administration,MBA,27170.0,USD,2270325.2
Virginia Commonwealth University,Virginia,United States,MBA in Executive MBA,MBA,45423.0,USD,3795545.88
Sacred Heart University,Connecticut,United States,Masters in Business Administration,MBA,35460.0,USD,2963037.6
Marshall University,West Virginia,United States,MBA in Business Administration,MBA,20574.0,USD,1719163.44
Humboldt University of Berlin,Berlin,Germany,MSc in Business Administration,MBA,146.0,EUR,13045.1
